Event Name,Event Time,Status,External Url
Making LinkedIn your main Lead Generation channel,"Jan 06, 2022 04:30 PM - Jan 06, 2022 05:30 PM",APPROVED,https://www.eventbrite.co.uk/e/223263024717
How to Land a Product Manager Job in Q4 2021,"Oct 07, 2021 05:00 PM - Oct 07, 2021 06:00 PM",APPROVED,https://bit.ly/2XwJKOt
How to Answer the Most Common Behavioral Questions for Product Managers,"Nov 16, 2021 06:00 PM - Nov 16, 2021 07:00 PM",APPROVED,
9 Steps to a 7-figure AI Business: For Mid-Career Execs and Consultants,"Oct 16, 2025 05:00 PM - Oct 16, 2025 07:00 PM",APPROVED,https://us02web.zoom.us/meeting/register/HFgjYsQJR_KEjjK-T38mdw
Get-Hired Playbook: Strategies to Align Your Impact With Employer Goals,"Nov 30, 2023 07:00 PM - Nov 30, 2023 08:00 PM",APPROVED,
Optimizing the Checkout Process,"Jun 21, 2024 05:00 PM - Jun 21, 2024 06:00 PM",APPROVED,
Virtual Job Fair - Feb 24,"Feb 24, 2022 07:00 PM - Feb 24, 2022 09:00 PM",APPROVED,
Private AI & Risk Management: The Future for Regional Banks,"Apr 03, 2025 05:00 PM - Apr 03, 2025 06:00 PM",RELINQUISHED,
Session #56 Setting Evaluations for Ai Agents,"Jun 06, 2025 04:00 PM - Jun 06, 2025 05:00 PM",APPROVED,
Landing a role in Product.,"Feb 09, 2022 02:00 AM - Feb 09, 2022 03:30 AM",APPROVED,https://twitter.com/i/spaces/1yoJMWlDmDkKQ?s=20&t=MG2FA71aqMC-zCyjDeGv-w
Interactive CISO Roundtable – March 2025,"Mar 25, 2025 12:00 AM - Mar 25, 2025 01:00 AM",RELINQUISHED,https://us06web.zoom.us/j/3693693793
Marketing Analytics Summit Livestream 2021,"May 10, 2021 03:00 PM - May 13, 2021 01:00 AM",APPROVED,https://marketinganalyticssummit.com/register-for-marketing-analytics-summit-2021/
Tech Talk - The Science of Spear Phishing Attacks,"Sep 22, 2021 08:00 PM - Sep 22, 2021 08:30 PM",APPROVED,
April 2025 Interactive CISO Roundtable: The Future of Cybersecurity Leaders,"Apr 15, 2025 12:00 AM - Apr 15, 2025 12:30 AM",RELINQUISHED,https://us06web.zoom.us/j/3693693793
How to Answer the Most Common Technical Product Manager Interview Questions,"Dec 28, 2021 06:00 PM - Dec 28, 2021 06:30 PM",APPROVED,
Webinar: Data Product Management by Tinder Group PM,"Sep 10, 2021 12:00 AM - Sep 10, 2021 12:30 AM",APPROVED,
Demystifying the EU AI Act,"Apr 15, 2025 09:00 AM - Apr 15, 2025 10:00 AM",RELINQUISHED,https://www.vanta.com/webinars/demystifying-the-eu-ai-act-apr?utm_campaign=&utm_source=linkedin&utm_medium=organic-social
"AI-Assisted, Human-Driven: Build Your Career Toolkit Live","Jan 20, 2026 05:00 PM - Jan 20, 2026 07:00 PM",APPROVED,https://us06web.zoom.us/j/5034038214?pwd=M2V4TGI4ZHdFTWVIdEhRbWZDOUc2Zz09
"Fireside Chat with Airbnb Sr Product Manager, Victoria Ku","Sep 22, 2021 05:30 PM - Sep 22, 2021 06:00 PM",APPROVED,
9 Steps to a 7-figure AI Business: For Mid-Career Execs and Consultants,"Oct 09, 2025 05:00 PM - Oct 09, 2025 07:00 PM",APPROVED,https://us02web.zoom.us/meeting/register/HFgjYsQJR_KEjjK-T38mdw
A/B Testing Statistics Visually Explained by Apple Data Scientist,"Jan 16, 2022 05:00 PM - Jan 16, 2022 07:00 PM",APPROVED,https://event.webinarjam.com/go/live/1/kyzk2h2tns2s1
Adopting AI with intention - Strategic Approach for Unlocking ROI with AI,"Nov 06, 2025 11:30 PM - Nov 07, 2025 12:30 AM",APPROVED,
Webinar: PM + AI = Rockstar Duo by Microsoft Product Manager,"Aug 13, 2021 09:00 PM - Aug 13, 2021 09:30 PM",APPROVED,https://prdct.school/3yDsOn5
Interactive CISO Roundtable – February 2025,"Feb 25, 2025 01:00 AM - Feb 25, 2025 02:00 AM",RELINQUISHED,https://us06web.zoom.us/j/86429472235
ML Revolution in Healthcare | Data Science Live Project,"Dec 16, 2023 04:00 PM - Dec 16, 2023 05:00 PM",APPROVED,
The Future of Human Machine Interactions,"Mar 07, 2025 08:30 PM - Mar 07, 2025 09:00 PM",RELINQUISHED,
3 Strategies to Improve CX in 2022,"Feb 01, 2022 04:00 PM - Feb 01, 2022 04:30 PM",APPROVED,https://us06web.zoom.us/webinar/register/2016420989044/WN_KKzNhk_BR_CuPI4v9R2BJA
Elevate Your Job Search: Tips for Showcasing Achievements,"Jun 06, 2024 06:00 PM - Jun 06, 2024 07:00 PM",APPROVED,
AI Driven Innovation,"Jun 04, 2024 06:00 PM - Jun 04, 2024 07:00 PM",APPROVED,
