Question,Answer
How many years of work experience do you have with Representational State Transfer (REST)?,0
How many years of work experience do you have with Agile & Waterfall Methodologies?,3
State / Province,
How many years of work experience do you have with Enterprise Resource Planning (ERP)?,3
How many years of work experience do you have with Python (Programming Language)?,4
Country,
How many years of work experience do you have with A/B Testing?,4
How many years of work experience do you have with Magento?,0
How many years of work experience do you have with E-commerce SEO?,1
How many years of STRA experience do you currently have?,4
How many years of work experience do you have with Business Intelligence Projects?,5
