Saved Date,Job Url,Job Title,Company Name
"11/28/23, 4:31 PM",http://www.linkedin.com/jobs/view/3731568263,"Director, Marketing Analytics & Data Science",Udemy
"11/14/23, 1:06 PM",http://www.linkedin.com/jobs/view/3747109778,"Senior Product Manager, Onboarding",Hinge Health
"11/28/23, 4:42 PM",http://www.linkedin.com/jobs/view/3763930483,Growth Marketing Specialist,SquarePeg
"3/12/26, 10:25 AM",http://www.linkedin.com/jobs/view/4373134384,Principal Product Manager,UiPath
"11/2/23, 12:31 PM",http://www.linkedin.com/jobs/view/3753046313,Data Product Manager,Blend
"10/29/23, 3:11 AM",http://www.linkedin.com/jobs/view/3666180133,"Senior Product Manager, Pricing Optimization",Lyft
"4/22/26, 4:21 PM",http://www.linkedin.com/jobs/view/4398435818,Senior Product Manager - Loyalty,Fanatics
"6/24/23, 10:43 AM",http://www.linkedin.com/jobs/view/3629247038,"Manager, Data Analytics (Product)",Weight Watchers
"3/31/26, 2:54 PM",http://www.linkedin.com/jobs/view/4391937357,"Senior Product Manager, New Venture",Spring Health
"10/17/23, 9:30 PM",http://www.linkedin.com/jobs/view/3499482879,Product Manager (Multiple Levels),DoorDash
"11/7/23, 8:02 AM",http://www.linkedin.com/jobs/view/3741710786,Business Analytics Manager,Centerfield
"4/14/26, 9:06 AM",http://www.linkedin.com/jobs/view/4401526237,"Product Manager, Wonder Create",Grubhub
"12/29/23, 9:25 AM",http://www.linkedin.com/jobs/view/3795238534,Sr. Product Analyst / Sr. Data Scientist,Apollo.io
"6/24/23, 10:32 AM",http://www.linkedin.com/jobs/view/3644461793,"Sr. Manager, GTM Product Operations",Samsung Electronics America
"11/28/23, 4:35 PM",http://www.linkedin.com/jobs/view/3735880619,"REMOTE, E-commerce, Native Senior Go to Market, Data Analyst",Procter & Gamble
"4/7/26, 2:48 PM",http://www.linkedin.com/jobs/view/4398276272,Growth PM,Mutiny
"11/12/23, 8:53 AM",http://www.linkedin.com/jobs/view/3763695884,Data Product Owner,Dice
"11/14/23, 2:36 PM",http://www.linkedin.com/jobs/view/3764636586,"Manager, Analytics",Powell Tate
"4/16/26, 6:10 AM",http://www.linkedin.com/jobs/view/4378535363,"Sr. Manager, Digital Ordering - Strategy & Operations",DoorDash
"11/7/23, 7:46 AM",http://www.linkedin.com/jobs/view/3739120630,"Senior Manager, Analytics",Powell Tate
"3/12/26, 1:04 PM",http://www.linkedin.com/jobs/view/4384895633,"Senior Product Manager, Growth",Instacart
"3/12/26, 10:28 AM",http://www.linkedin.com/jobs/view/4384546159,"Product Manager, Destinations",Airbnb
"10/29/23, 3:05 AM",http://www.linkedin.com/jobs/view/3746861001,Product Manager - Data Products,FanDuel
"3/27/26, 3:27 PM",http://www.linkedin.com/jobs/view/4390658553,"Senior Product Manager, Buyer Experience, Web",Etsy
"10/29/23, 2:51 AM",http://www.linkedin.com/jobs/view/3723912767,"Data Analyst, Strategy & Diagnostics",Lyft
